id,taxonomy_recordid,taxonomy_name,taxonomy_parent_name,taxonomy_grandparent_name,taxonomy_vocabulary,taxonomy_x_description,taxonomy_x_notes,taxonomy_services,taxonomy_parent_recordid,taxonomy_facet,category_id,taxonomy_id,flag
78,61,"Senior Centers",,,,,,,,"Organization/Facility Type",TC-5500.8000,TC-5500.8000,
79,62,"Congregate Meals/Nutrition Sites",,,,,,,,Service,BD-5000.1500,BD-5000.1500,
80,495,"Immigrant Visa Application Filing Assistance",,,,,,,,Service,FT-3600.3300,FT-3600.3300,
81,126,"Suicide Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-825,RP-1400.8000-825,
82,794,"Gay/Lesbian/Bisexual/Transgender Advocacy Groups",,"LGBTQ Services",,,,,,"Organization/Facility Type",TD-1600.3100-250,TD-1600.3100-250,modified
83,627,"Suicide Prevention Hotlines",,"Mental Health",,,,,,Service,RP-1500.1400-800,RP-1500.1400-800,
84,910,"General Education Advocacy",,,,,,,,Service,FT-8000.2500,FT-8000.2500,
85,458,"Animal Adoption",,,,,,,,Service,PD-7600.0100,PD-7600.0100,
86,20,"Family Counseling",,"Mental Health",,,,,,"Modality/Delivery Format",RF-2000,RF-2000,
87,461,"Animal Shelters",,,,,,,,"Organization/Facility Type",PD-7600.0600,PD-7600.0600,
88,120,"Adolescent/Youth Counseling",,"School Discipline",,,,,,Service,RP-1400.8000-050,RP-1400.8000-050,modified
89,342,"City/County Hospitals",,Health,,,,,,"Organization/Facility Type",LL-3000.1500,LL-3000.1500,
90,873,"Consumer Assistance and Protection",,,,,,,,Service,DD,DD,
91,123,"Parenting Skills Classes",,"Parenting Skills (Education)",,,,,,Service,PH-6100.6800,PH-6100.6800,modified
92,844,"Fire Control/Extinction",,,,,,,,Service,JR-1900.2000,JR-1900.2000,
93,329,"Supported Employment",,,,,,,,Service,ND-6500.8120,ND-6500.8120,
94,614,"Prescription Expense Assistance",,Health,,,,,,Service,LH-5100.6500,LH-5100.6500,
95,240,"Pregnancy Testing",,Health,,,,,,Service,LJ-2000.6750,LJ-2000.6750,
96,307,"Cooking Classes",,,,,,,,Service,PL-7400.1550,PL-7400.1550,
97,89,"Dental Care",,Health,,,,,,Service,LV-1600,LV-1600,
98,19,"Individual Counseling",,"Mental Health",,,,,,"Modality/Delivery Format",RF-3300,RF-3300,
99,124,"Family Literacy Programs",,,,,,,,Service,HH-4500.2000,HH-4500.2000,
100,842,"Speakers/Speakers Bureaus",,,,,,,,Service,TJ-6500.8000,TJ-6500.8000,
101,429,"Nursing Facilities",,Health,,,,,,"Organization/Facility Type",LL-6000,LL-6000,
102,277,"Sexual Assault Treatment",,"Sexual Abuse",,,,,,Service,LT-1750.7935,LT-1750.7935,modified
103,164,"Child Care Centers",,"Child Care",,,,,,"Organization/Facility Type",PH-1250.1400,PH-1250.1400,modified
104,112,WIC,,,,,,,,"Named Programs",NL-6000.9500,NL-6000.9500,
105,413,"Childbirth Education",,Health,,,,,,Service,LJ-5000.1500,LJ-5000.1500,
106,109,"Prenatal Care",,Health,,,,,,Service,LJ-5000.6600,LJ-5000.6600,
107,108,"Family Planning",,Health,,,,,,Service,LJ-2000,LJ-2000,
108,1379,"Animal Food/Supplies Donation Programs",,,,,,,,Service,TI-1800.0700,TI-1800.0700,
109,15,Neuropsychiatry/Neuropsychology,,Health,,,,,,Service,LV-5700,LV-5700,
110,16,"Cognitive Behavioral Therapy",,"Mental Health",,,,,,Service,RD-1500,RD-1500,
111,17,"Gestalt Therapy",,"Mental Health",,,,,,Service,RD-2500,RD-2500,
112,1226,"Divorce Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-175,RP-1400.8000-175,
113,111,"Community Clinics",,Health,,,,,,"Organization/Facility Type",LN-1500,LN-1500,
114,103,"Gynecology Services",,Health,,,,,,Service,LV-6000.2550,LV-6000.2550,
115,1325,"Special Needs Registries",,,,,,,,"Programs that maintain information about people who may require ",TH-1700.8000,TH-1700.8000,
116,583,"Breast Care Centers",,Health,,,,,,"Organization/Facility Type",LV-6000.1000,LV-6000.1000,
117,378,"Unemployment Insurance Benefits Assistance",,,,,,,,Service,FT-1000.8900,FT-1000.8900,
118,6,"Adult Day Programs",,,,,,,,Service,PH-0320,PH-0320,
119,402,"Special Education Assessment",,,,,,,,Service,HL-2000.8000,HL-2000.8000,
120,113,"Mother and Infant Care",,Health,,,,,,Service,LJ-5000,LJ-5000,
121,745,"Outpatient Mental Health Facilities",,"Mental Health",,,,,,"Organization/Facility Type",RM-6500,RM-6500,
122,189,"Guardianship Assistance",,,,,,,,Service,FT-6900.2500,FT-6900.2500,
123,193,"General Physical Examinations",,Health,,,,,,Service,LF-7100.2500,LF-7100.2500,
124,18,Psychotherapy/Psychoanalysis,,"Mental Health",,,,,,Service,RD-6800.6500,RD-6800.6500,
125,21,"Group Counseling",,"Mental Health",,,,,,"Modality/Delivery Format",RF-2500,RF-2500,
126,22,"Private Therapy Practices",,"Mental Health",,,,,,"Organization/Facility Type",RM-6500.6500,RM-6500.6500,
127,9,"Summer Camps",,,,,,,,Service,PL-6400.1500-820,PL-6400.1500-820,
128,865,Licensing/Certification/Accreditation,,,,,,,,Service,DF-4500,DF-4500,
129,38,"Consumer Complaints",,,,,,,,Service,DD-1500,DD-1500,
130,311,"Career Counseling",,"Employment Training",,,,,,Service,ND-2000.1500-160,ND-2000.1500-160,modified
131,544,"Vocational Education",,,,,,,,Service,HH-9000,HH-9000,
132,424,"Assisted Living Facilities",,,,,,,,"Organization/Facility Type",BH-8400.6000-060,BH-8400.6000-060,
133,628,"Self Advocacy Support",,,,,,,,"Modality/Delivery Format",FP-0500.7800,FP-0500.7800,
134,367,"Adolescent/Adult Immunizations",,Health,,,,,,Service,LT-3400.0100,LT-3400.0100,
135,617,"Medicare Information/Counseling",,Health,,,,,,"Named Programs",LH-3500.5000,LH-3500.5000,
136,166,"Respite Care",,,,,,,,Service,PH-7000,PH-7000,
137,455,"Local Bus Transit Services",,,,,,,,Service,BT-4500.4700-500,BT-4500.4700-500,
138,1200,"General Paratransit/Community Ride Programs",,,,,,,,Service,BT-4500.6500-280,BT-4500.6500-280,
139,85,"Childhood Immunizations",,Health,,,,,,Service,LT-3400.1500,LT-3400.1500,
140,851,"Spouse/Intimate Partner Abuse Prevention",,"Domestic Violence",,,,,,Service,FN-1500.1900-800,FN-1500.1900-800,modified
141,8,"Homemaker Assistance",,,,,,,,Service,PH-3300.3000,PH-3300.3000,
142,1307,"Food Stamps/SNAP",,,,,,,,"Named Programs",NL-6000.2000,NL-6000.2000,
143,143,"Social Health Insurance","Income Support and Employment",,"Open211 Miami - AIRS",,,,N,Service,NS-8000,NS-8000,
144,152,"Thanksgiving Meals",,,,,,,,Service,PH-2950.8500-870,PH-2950.8500-870,
145,84,"AIDS/HIV Clinics",,Health,,,,,,Service,LT-1750.0500,LT-1750.0500,
146,73,"HIV Testing",,Health,,,,,,Service,LF-4900.2400,LF-4900.2400,
147,979,"Blood Banks",,Health,,,,,,"Organization/Facility Type",LH-0500.0900-100,LH-0500.0900-100,
148,923,"Literacy Programs",,,,,,,,Service,HH-4500,HH-4500,
149,337,"Early Childhood Education",,,,,,,,Service,HD-1800,HD-1800,
150,122,"Parent/Family Involvement in Education",,,,,,,,Service,HL-3010.6500,HL-3010.6500,
151,926,"Personal/Grooming Supplies",,,,,,,,Service,BM-6500.6500-650,BM-6500.6500-650,
152,63,"Home Delivered Meals",,,,,,,,Service,BD-5000.3500,BD-5000.3500,
153,65,Preschools,,,,,,,,"Organization/Facility Type",HD-1800.6500,HD-1800.6500,
154,426,"Senior Center Bus Services",,,,,,,,Service,BT-4500.4700-800,BT-4500.4700-800,
155,975,"Elections/Election Campaigns",,,,,,,,Service,TQ-1800,TQ-1800,
156,147,"Life Skills Education",,,,,,,,Service,PH-6200.4600,PH-6200.4600,
157,1012,"Locator Aids",,,,,,,,Service,PH-1800.4600,PH-1800.4600,
158,325,"Fetal Ultrasound",,Health,,,,,,Service,LF-7300.2000-260,LF-7300.2000-260,
159,185,"In Person Crisis Intervention",,"Mental Health",,,,,,Service,RP-1500.3300,RP-1500.3300,
160,308,"Healthy Eating Programs",,Health,,,,,,Service,LH-2700.6000-300,LH-2700.6000-300,
161,137,"Free School Supplies",,,,,,,,Service,HL-8120.7800-200,HL-8120.7800-200,
162,107,Medicaid,,,,,,,,"Named Programs",NL-5000.5000,NL-5000.5000,
163,1457,Funding,,,,,,,,Service,TB-0700.2200,TB-0700.2200,
164,153,"Addictions/Substance Use Disorder Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.0500,PN-8100.0500,
165,258,"Elder/Dependent Adult Abuse Reporting",,,,,,,,Service,PH-6500.0500-180,PH-6500.0500-180,
166,339,"Head Start",,,,,,,,"Named Programs",HD-1800.3000,HD-1800.3000,
167,651,"Birth Certificates",,,,,,,,Service,DF-7000.1200,DF-7000.1200,
168,525,"Death Certificates",,,,,,,,Service,DF-7000.1700-300,DF-7000.1700-300,
169,1332,"Personal/Grooming Supplies Donation Programs",,,,,,,,Service,TI-1800.6700,TI-1800.6700,
170,871,"Homelessness Advocacy Groups",,,,,,,,"Organization/Facility Type",TD-1600.2600,TD-1600.2600,
171,772,"Runaway/Homeless Youth Helplines",,"Mental Health",,,,,,Service,RP-1500.1400-700,RP-1500.1400-700,
172,392,"Student Health Programs",,,,,,,,Service,HL-8120.8030,HL-8120.8030,
173,987,"Crisis Pregnancy Hotlines",,"Mental Health",,,,,,Service,RP-1500.1400-180,RP-1500.1400-180,
174,203,"Domestic Violence Hotlines",,"Domestic Violence",,,,,,Service,RP-1500.1400-200,RP-1500.1400-200,modified
175,713,"General Crisis Intervention Hotlines",,"Mental Health",,,,,,Service,RP-1500.1400-250,RP-1500.1400-250,
176,626,"Mental Health Hotlines",,"Mental Health",,,,,,Service,RP-1500.1400-500,RP-1500.1400-500,
177,639,"Sexual Assault Hotlines",,"Sexual Abuse",,,,,,Service,RP-1500.1400-750,RP-1500.1400-750,modified
178,10,"Financial Management Workshops",,"Financial Trainings",,,,,,Service,DM-2000,DM-2000,modified
179,793,"General Counseling Services",,"Mental Health",,,,,,Service,RP-1400.2500,RP-1400.2500,
180,997,"Disaster Donations Hotlines",,"Emergency Assistance (Disaster)",,,,,,Service,TH-2900.1700-160,TH-2900.1700-160,modified
181,1331,"School Supplies Donation Programs",,,,,,,,Service,TI-1800.8100,TI-1800.8100,
182,574,"Runaway Prevention Programs",,"Mental Health",,,,,,Service,RR-5150.5000-700,RR-5150.5000-700,
183,121,"Family Support Centers/Outreach",,,,,,,,"Organization/Facility Type",PH-2360.2400,PH-2360.2400,
184,377,"Baby Clothing",,,,,,,,Service,BM-6500.1500-100,BM-6500.1500-100,
185,77,"Ongoing Emergency Food Assistance",,,,,,,,Service,BD-1800.2000-640,BD-1800.2000-640,
186,509,"Nursing Facility Complaints",,,,,,,,Service,DD-1500.4280-600,DD-1500.4280-600,
187,601,"Ex-Offender Reentry Programs",,,,,,,,Service,FF-1900,FF-1900,
188,1,"Environment and Public Health/Safety",,,,,,,,Service,J,J,
189,2,"Income Support and Employment",,,,,,,,Service,N,N,
190,812,"Group Residences for Adults With Disabilities",,,,,,,,"Organization/Facility Type",BH-8400.6000-280,BH-8400.6000-280,
191,1253,"Street Outreach Volunteer Opportunities",,,,,,,,Service,PX-2300.8030,PX-2300.8030,
192,806,"Infant and Child Safety Education",,,,,,,,Service,JR-8200.6500-350,JR-8200.6500-350,
193,383,"General Clothing Provision",,,,,,,,Service,BM-6500.1500-250,BM-6500.1500-250,
194,1002,"Wildlife Rescue/Relocation",,,,,,,,Service,JD-1500.9600-960,JD-1500.9600-960,
195,764,"Gambling Addiction Counseling/Treatment",,"Mental Health",,,,,,Service,RP-1400.8000-250,RP-1400.8000-250,
196,318,"Home Based Parenting Education",,"Parenting Skills (Education)",,,,,,Service,PH-6100.3300,PH-6100.3300,modified
197,837,"Prenatal/Postnatal Home Visitation Programs",,,,,,,,Service,PH-6100.1800-680,PH-6100.1800-680,
198,537,"School Districts",,,,,,,,"Organization/Facility Type",HD-8200,HD-8200,
199,29,"Child Support Assistance/Enforcement",,"Family Law Matters",,,,,,Service,FT-3000.1600,FT-3000.1600,modified
200,46,"Individual Advocacy",,,,,,,,"Modality/Delivery Format",FP-0500.3300,FP-0500.3300,
201,375,"Formula/Baby Food",,,,,,,,Service,BD-1800.8200-250,BD-1800.8200-250,
202,129,"Child Sexual Abuse Counseling",,"Child Abuse",,,,,,Service,RP-1400.8000-020.18,RP-1400.8000-020.18,modified
203,986,"Child Sexual Exploitation Reporting",,,,,,,,Service,FN-1700.1300,FN-1700.1300,
204,347,"Vocational Rehabilitation",,,,,,,,Service,ND-9000,ND-9000,
205,182,TANF,,,,,,,,"Named Programs",NL-1000.8500,NL-1000.8500,
206,234,"Field Trips/Excursions",,,,,,,,Service,PL-8700.2000,PL-8700.2000,
207,1045,"In Home Meal Preparation",,,,,,,,Service,PH-3300.3220,PH-3300.3220,
208,1326,"County Offices of Emergency Services",,,,,,,,"Organization/Facility Type",TH-1500.1600,TH-1500.1600,
209,582,"Emergency Room Care",,Health,,,,,,Service,LD-1700,LD-1700,
210,562,"Personal Financial Counseling",,"Financial Trainings",,,,,,Service,DM-6500,DM-6500,modified
211,1456,"Manual Wheelchairs",,Health,,,,,,Service,LH-0600.5000-970.50,LH-0600.5000-970.50,
212,446,"Martial Arts",,"Arts and Culture",,,,,,Service,PL-7000.5800,PL-7000.5800,modified
213,988,"Suicide Prevention Volunteer Opportunities",,,,,,,,Service,PX-1800.1500-250,PX-1800.1500-250,
214,989,"Information and Referral Volunteer Opportunities",,,,,,,,Service,PX-1800.1500-200,PX-1800.1500-200,
215,990,"Helpline Volunteer Opportunities",,,,,,,,Service,PX-1800.1500-150,PX-1800.1500-150,
216,991,"Crisis Intervention Volunteer Opportunities",,,,,,,,Service,PX-1800.1500-100,PX-1800.1500-100,
217,792,"Disciplinary Alternative Education Programs",,,,,,,,Service,HD-0500.1700,HD-0500.1700,
218,115,Pharmacies,,Health,,,,,,"Organization/Facility Type",LH-6600,LH-6600,
219,95,Pediatrics,,Health,,,,,,Service,LV-6800,LV-6800,
220,656,"Health Insurance Information/Counseling",,Health,,,,,,Service,LH-3500,LH-3500,
221,573,"Community Wellness Programs",,Health,,,,,,Service,LH-2700.9500-100,LH-2700.9500-100,
222,1458,"Walking Aids",,Health,,,,,,Service,LH-0600.5000-950,LH-0600.5000-950,
223,498,"Comprehensive Disability Related Employment Programs",,,,,,,,Service,ND-6500.1500,ND-6500.1500,
224,815,"Developmental Disabilities Social/Recreational Programs",,Health,,,,,,Service,LR-3100.1800-190,LR-3100.1800-190,
225,290,"Supported Living Services for Adults With Disabilities",,,,,,,,Service,BH-8400.6000-840,BH-8400.6000-840,
226,813,"Intermediate Care Facilities for Individuals With Developmental Disabilities",,,,,,,,"Organization/Facility Type",BH-8400.6000-350,BH-8400.6000-350,
227,608,"Recreational Activities Volunteer Opportunities",,,,,,,,Service,PX-7000.7000,PX-7000.7000,
228,506,"Advocacy/Ombudsman Volunteer Opportunities",,,,,,,,Service,PX-1850.4000-030,PX-1850.4000-030,
229,59,"Elderly/Disabled Home Rental Listings",,,,,,,,Service,BH-3900.3050-180,BH-3900.3050-180,
230,60,"Low Income/Subsidized Private Rental Housing",,Housing,,,,,,"Organization/Facility Type",BH-7000.4600-450,BH-7000.4600-450,modified
231,1035,"Tae Kwon Do",,,,,,,,Service,PL-7000.5800-870,PL-7000.5800-870,
232,941,"Local Automobile Transportation",,,,,,,,Service,BT-4500.4500,BT-4500.4500,
233,408,"Disability Related Transportation",,,,,,,,Service,BT-4500.6500-170,BT-4500.6500-170,
234,267,"Mortgage Delinquency and Default Counseling",,,,,,,,"Programs that provide assistance for people who are unable to ma",DM-1800.2000,DM-1800.2000,
235,135,"Constitutional/Civil Rights Groups",,,,,,,,"Organization/Facility Type",TD-1600.3100-160,TD-1600.3100-160,
236,136,"Discrimination Assistance",,,,,,,,Service,FT-1800,FT-1800,
237,201,"Anxiety Disorders Screening",,"Diagnostic Centers",,,,,,Service,RP-5000.5000-050,RP-5000.5000-050,modified
238,621,"Comprehensive Immigration/Naturalization Services",,,,,,,,Service,FT-3600.1500,FT-3600.1500,
239,565,"Human Trafficking Prevention",,,,,,,,Service,FN-1500.2560,FN-1500.2560,
240,419,"Eye Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.2000,LF-4900.2000,modified
241,271,"Hearing Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.2150,LF-4900.2150,modified
242,654,"Lead Poisoning Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.4500,LF-4900.4500,modified
243,916,"Tuberculosis Screening",,"Diagnostic Centers",,,,,,Service,LF-4900.8600,LF-4900.8600,modified
244,932,"General Laboratory Tests",,Health,,,,,,Service,LF-5280,LF-5280,
245,798,"Glee Clubs/Choir Groups",,,,,,,,"Organization/Facility Type",PS-8200.5000-250,PS-8200.5000-250,
246,266,"Debt Consolidation Services",,,,,,,,Service,DM-1800.1700,DM-1800.1700,
247,270,"Homebuyer/Home Purchase Counseling",,,,,,,,Service,BH-3700.3000,BH-3700.3000,
248,248,"Clubhouse Model Psychiatric Rehabilitation","Mental Health Care and Counseling","Mental Health","Open211 Miami - AIRS",,,,R,Service,RP-6400.8000-660.15,RP-6400.8000-660.15,
249,470,"Wish Foundations",,Health,,,,,,"Organization/Facility Type",LH-6300.9500,LH-6300.9500,
250,42,"Outreach Programs",,,,,,,,Service,TJ-6500.6300,TJ-6500.6300,
251,409,"Crisis Intervention",,"Mental Health",,,,,,Service,RP-1500,RP-1500,
252,410,"Prescription Drugs for Specific Health Conditions",,Health,,,,,,Service,LH-6700.6400,LH-6700.6400,
253,80,"Bereavement Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-100,RP-1400.8000-100,
254,415,"Mental Health Evaluation",,"Mental Health",,,,,,Service,RP-5000,RP-5000,
255,79,"Comprehensive Outpatient Substance Use Disorder Treatment",,"Mental Health",,,,,,Service,RX-8450.1150,RX-8450.1150,
256,517,"Adult Residential Treatment Facilities",,"Mental Health",,,,,,"Organization/Facility Type",RM-7000.0500,RM-7000.0500,
257,56,"Community Action Agencies",,"Emergency Assistance (Utility/Financial Assistance)",,,,,,"Organization/Facility Type",TD-1100.1400,TD-1100.1400,modified
258,1300,"Drop In Child Care",,"Child Care",,,,,,Service,PH-1250.1700,PH-1250.1700,modified
259,55,"Local Government Complaints/Ombudsman Offices",,,,,,,,"Organization/Facility Type",DD-1500.4150-450,DD-1500.4150-450,
260,510,"Long Term Care Ombudsman Programs",,,,,,,,Service,FT-4950,FT-4950,
261,231,"Computer and Related Technology Classes",,,,,,,,Service,PL-7400.1500,PL-7400.1500,
262,222,"Rent Payment Assistance",,"Emergency Assistance (Utility/Financial Assistance)",,,,,,Service,BH-3800.7000,BH-3800.7000,modified
263,1435,"Teen Pregnancy Prevention",,Health,,,,,,Service,LJ-8000.8500,LJ-8000.8500,
264,207,"First Time Buyer Home Loans",,,,,,,,Service,BH-3500.3400-250,BH-3500.3400-250,
265,400,"Developmental Assessment",,Health,,,,,,Service,LF-7000.1700,LF-7000.1700,
266,727,"Adoption Counseling and Support",,,,,,,,Service,PH-0300.0300,PH-0300.0300,
267,288,"General Mental Health Screening",,"Diagnostic Centers",,,,,,Service,RP-5000.5000-260,RP-5000.5000-260,modified
268,394,"Psychosocial Evaluation",,"Mental Health",,,,,,Service,RP-5000.6600,RP-5000.6600,
269,285,"Adult Out of Home Respite Care",,,,,,,,Service,PH-7000.6000-060,PH-7000.6000-060,
270,832,"Boys/Girls Clubs",,,,,,,,"Organization/Facility Type",PS-9800.1000,PS-9800.1000,
