id,name,taxonomy_facet,parent_id,parent_name,vocabulary
RX-8500.6500-050,Alcohol Use Related Recovery Homes/Halfway Houses,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
LL-3000.1450,Children's Hospitals,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
TD-1600.3100-800,Senior Advocacy Groups,Organization/Facility Type,,,
PH-1000,Case/Care Management,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
FP-0500.2500,Group Advocacy,Modality/Delivery Format,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
RX-8500.6500-180,Drug Use Related Recovery Homes/Halfway Houses,Organization/Facility Type,,,
LH-2700.1700,Disease/Disability Information,Service,,,
RP-6400.8000-300,Home Based Mental Health Services,Service,,,
DD-1500.9650,Utility Service Complaints,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
HH-0500.1500,Citizenship Education,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
RP-1400.8000-650,Parent Counseling,Service,,,
PH-6100,Parenting Education,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
LR-8000.0500-050.05,Auditory/Oral Training,Service,,,
ND-2000.3500,Job Training Formats,Modality/Delivery Format,,,
PL-7000,Recreational Activities/Sports,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
BD-5000.1500,Congregate Meals/Nutrition Sites,Service,,,
FT-3600.3300,Immigrant Visa Application Filing Assistance,Service,,,
RP-1400.8000-825,Suicide Counseling,Service,,,
TD-1600.3100-250,Gay/Lesbian/Bisexual/Transgender Advocacy Groups,Organization/Facility Type,,,
RP-1500.1400-800,Suicide Prevention Hotlines,Service,,,
FT-8000.2500,General Education Advocacy,Service,,,
PD-7600.0100,Animal Adoption,Service,,,
PH-1000,Case/Care Management,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
PD-7600.0600,Animal Shelters,Organization/Facility Type,,,
RP-1400.8000-050,Adolescent/Youth Counseling,Service,,,
ND-6500,Training and Employment Programs,Service,,,
LL-3000.1500,City/County Hospitals,Organization/Facility Type,,,
DD,Consumer Assistance and Protection,Service,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
JR-1900.2000,Fire Control/Extinction,Service,,,
ND-6500.8120,Supported Employment,Service,,,
LH-5100.6500,Prescription Expense Assistance,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7400.1550,Cooking Classes,Service,,,
LV-1600,Dental Care,Service,,,
PX,Volunteer Opportunities,Service,,,
TJ-3000,Information and Referral,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
HH-4500.2000,Family Literacy Programs,Service,,,
TJ-6500.8000,Speakers/Speakers Bureaus,Service,,,
LL-6000,Nursing Facilities,Organization/Facility Type,,,
LT-1750.7935,Sexual Assault Treatment,Service,,,
TJ-3000.8500-850,211 Lead Agencies,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
PH-1000,Case/Care Management,Service,,,
NL-6000.9500,WIC,Named Programs,,,
LJ-5000.1500,Childbirth Education,Service,,,
LJ-5000.6600,Prenatal Care,Service,,,
LJ-2000,Family Planning,Service,,,
TI-1800.0700,Animal Food/Supplies Donation Programs,Service,,,
LV-5700,Neuropsychiatry/Neuropsychology,Service,,,
RD-1500,Cognitive Behavioral Therapy,Service,,,
RD-2500,Gestalt Therapy,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
RP-1400.8000-175,Divorce Counseling,Service,,,
LN-1500,Community Clinics,Organization/Facility Type,,,
LV-6000.2550,Gynecology Services,Service,,,
PN-8100.3000,Health/Disability Related Support Groups,Organization/Facility Type,,,
PN-8100.3000,Health/Disability Related Support Groups,Organization/Facility Type,,,
TH-1700.8000,Special Needs Registries,Programs that maintain information about people who may require ,,,
LV-6000.1000,Breast Care Centers,Organization/Facility Type,,,
ND-3500.3600,Job Search/Placement,Service,,,
FT-1000.8900,Unemployment Insurance Benefits Assistance,Service,,,
PH-0320,Adult Day Programs,Service,,,
HL-2000.8000,Special Education Assessment,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
LH-2700.1700,Disease/Disability Information,Service,,,
PX,Volunteer Opportunities,Service,,,
LJ-5000,Mother and Infant Care,Service,,,
BH-8600,Transitional Housing/Shelter,Service,,,
RM-6500,Outpatient Mental Health Facilities,Organization/Facility Type,,,
FT-6900.2500,Guardianship Assistance,Service,,,
LF-7100.2500,General Physical Examinations,Service,,,
PS-9800,Youth Development,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1400,Child Care Centers,Organization/Facility Type,,,
RD-6800.6500,Psychotherapy/Psychoanalysis,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RM-6500.6500,Private Therapy Practices,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PL-6400.1500-820,Summer Camps,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
DF-4500,Licensing/Certification/Accreditation,Service,,,
DD-1500,Consumer Complaints,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
LH-2700.1700,Disease/Disability Information,Service,,,
ND-2000.1500-160,Career Counseling,Service,,,
HH-9000,Vocational Education,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
BH-8400.6000-060,Assisted Living Facilities,Organization/Facility Type,,,
FP-0500.7800,Self Advocacy Support,Modality/Delivery Format,,,
LT-3400.0100,Adolescent/Adult Immunizations,Service,,,
LH-3500.5000,Medicare Information/Counseling,Named Programs,,,
PH-7000,Respite Care,Service,,,
BT-4500.4700-500,Local Bus Transit Services,Service,,,
BT-4500.6500-280,General Paratransit/Community Ride Programs,Service,,,
LN-1500,Community Clinics,Organization/Facility Type,,,
LT-3400.1500,Childhood Immunizations,Service,,,
LH-3000,Health Insurance/Dental Coverage,Service,,,
PH-1000,Case/Care Management,Service,,,
PH-0320,Adult Day Programs,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
FN-1500.1900-800,Spouse/Intimate Partner Abuse Prevention,Service,,,
PH-3300.3000,Homemaker Assistance,Service,,,
NL-6000.2000,Food Stamps/SNAP,Named Programs,,,
NS-8000,Social Health Insurance,Service,,,
PH-3300.3000,Homemaker Assistance,Service,,,
NL-6000.2000,Food Stamps/SNAP,Named Programs,,,
NS-8000,Social Health Insurance,Service,,,
PH-2950.8500-870,Thanksgiving Meals,Service,,,
LT-1750.0500,AIDS/HIV Clinics,Service,,,
LF-4900.2400,HIV Testing,Service,,,
BT-4500.6500-280,General Paratransit/Community Ride Programs,Service,,,
LH-0500.0900-100,Blood Banks,Organization/Facility Type,,,
HH-4500,Literacy Programs,Service,,,
HD-1800,Early Childhood Education,Service,,,
HL-3010.6500,Parent/Family Involvement in Education,Service,,,
BM-6500.6500-650,Personal/Grooming Supplies,Service,,,
BD-5000.1500,Congregate Meals/Nutrition Sites,Service,,,
TC-5500.8000,Senior Centers,Organization/Facility Type,,,
BD-5000.3500,Home Delivered Meals,Service,,,
LJ-5000,Mother and Infant Care,Service,,,
HD-1800.6500,Preschools,Organization/Facility Type,,,
BT-4500.4700-800,Senior Center Bus Services,Service,,,
TQ-1800,Elections/Election Campaigns,Service,,,
PH-6200.4600,Life Skills Education,Service,,,
HH-0500.1500,Citizenship Education,Service,,,
PH-1800.4600,Locator Aids,Service,,,
LF-7300.2000-260,Fetal Ultrasound,Service,,,
RP-1500.3300,In Person Crisis Intervention,Service,,,
LH-2700.6000-300,Healthy Eating Programs,Service,,,
BD-5000.1500,Congregate Meals/Nutrition Sites,Service,,,
TJ-3000,Information and Referral,Service,,,
HL-8120.7800-200,Free School Supplies,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
NL-5000.5000,Medicaid,Named Programs,,,
NL-5000.5000,Medicaid,Named Programs,,,
BD-5000.3500,Home Delivered Meals,Service,,,
TB-0700.2200,Funding,Service,,,
PN-8100.0500,Addictions/Substance Use Disorder Support Groups,Organization/Facility Type,,,
PH-6500.0500-180,Elder/Dependent Adult Abuse Reporting,Service,,,
HD-1800.3000,Head Start,Named Programs,,,
DF-7000.1200,Birth Certificates,Service,,,
DF-7000.1700-300,Death Certificates,Service,,,
TI-1800.6700,Personal/Grooming Supplies Donation Programs,Service,,,
TD-1600.2600,Homelessness Advocacy Groups,Organization/Facility Type,,,
RP-1500.1400-700,Runaway/Homeless Youth Helplines,Service,,,
HL-8120.8030,Student Health Programs,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RP-1500.1400-180,Crisis Pregnancy Hotlines,Service,,,
RP-1500.1400-200,Domestic Violence Hotlines,Service,,,
RP-1500.1400-250,General Crisis Intervention Hotlines,Service,,,
RP-1500.1400-500,Mental Health Hotlines,Service,,,
RP-1500.1400-700,Runaway/Homeless Youth Helplines,Service,,,
RP-1500.1400-750,Sexual Assault Hotlines,Service,,,
HL-8120.8030,Student Health Programs,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
DM-2000,Financial Management Workshops,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
RP-1500.1400-800,Suicide Prevention Hotlines,Service,,,
RP-1400.8000-805,Sexual Orientation Counseling,Service,,,
RP-1400.8000-825,Suicide Counseling,Service,,,
PS-9800,Youth Development,Service,,,
TJ-3000,Information and Referral,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
RP-1500.1400-800,Suicide Prevention Hotlines,Service,,,
RP-1400.2500,General Counseling Services,Service,,,
TH-2900.1700-160,Disaster Donations Hotlines,Service,,,
TI-1800.8100,School Supplies Donation Programs,Service,,,
RR-5150.5000-700,Runaway Prevention Programs,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-2360.2400,Family Support Centers/Outreach,Organization/Facility Type,,,
PH-1000,Case/Care Management,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
BM-6500.1500-100,Baby Clothing,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
BD-1800.2000-640,Ongoing Emergency Food Assistance,Service,,,
DD-1500.4280-600,Nursing Facility Complaints,Service,,,
FF-1900,Ex-Offender Reentry Programs,Service,,,
ND-2000.1500-160,Career Counseling,Service,,,
LR-1700,Early Intervention for Children With Disabilities/Delays,Service,,,
J,Environment and Public Health/Safety,Service,,,
N,Income Support and Employment,Service,,,
BH-8400.6000-280,Group Residences for Adults With Disabilities,Organization/Facility Type,,,
BH-8400.6000-280,Group Residences for Adults With Disabilities,Organization/Facility Type,,,
PX-2300.8030,Street Outreach Volunteer Opportunities,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
JR-8200.6500-350,Infant and Child Safety Education,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
BM-6500.1500-250,General Clothing Provision,Service,,,
BH-8400.6000-280,Group Residences for Adults With Disabilities,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
JD-1500.9600-960,Wildlife Rescue/Relocation,Service,,,
RP-1400.8000-250,Gambling Addiction Counseling/Treatment,Service,,,
PX,Volunteer Opportunities,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PH-6100.3300,Home Based Parenting Education,Service,,,
PH-6100.1800-680,Prenatal/Postnatal Home Visitation Programs,Service,,,
HD-8200,School Districts,Organization/Facility Type,,,
HD-8200,School Districts,Organization/Facility Type,,,
FT-3000.1600,Child Support Assistance/Enforcement,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
PH-6100,Parenting Education,Service,,,
FP-0500.3300,Individual Advocacy,Modality/Delivery Format,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
RP-1400.8000-800,Sexual Assault Counseling,Service,,,
RP-1400.8000-800,Sexual Assault Counseling,Service,,,
RP-1400.8000-800,Sexual Assault Counseling,Service,,,
BD-1800.8200-250,Formula/Baby Food,Service,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
RP-1400.8000-020.18,Child Sexual Abuse Counseling,Service,,,
FN-1700.1300,Child Sexual Exploitation Reporting,Service,,,
RP-1400.8000-020.18,Child Sexual Abuse Counseling,Service,,,
ND-9000,Vocational Rehabilitation,Service,,,
HH-4500.2000,Family Literacy Programs,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
NL-1000.8500,TANF,Named Programs,,,
NL-6000.2000,Food Stamps/SNAP,Named Programs,,,
NS-8000,Social Health Insurance,Service,,,
PL-8700.2000,Field Trips/Excursions,Service,,,
PH-3300.3220,In Home Meal Preparation,Service,,,
PN-8100.3000,Health/Disability Related Support Groups,Organization/Facility Type,,,
TH-1500.1600,County Offices of Emergency Services,Organization/Facility Type,,,
LD-1700,Emergency Room Care,Service,,,
DM-6500,Personal Financial Counseling,Service,,,
LH-0600.5000-970.50,Manual Wheelchairs,Service,,,
TD-1600.2600,Homelessness Advocacy Groups,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.5800,Martial Arts,Service,,,
PX-1800.1500-250,Suicide Prevention Volunteer Opportunities,Service,,,
PX-1800.1500-200,Information and Referral Volunteer Opportunities,Service,,,
PX-1800.1500-150,Helpline Volunteer Opportunities,Service,,,
LJ-2000,Family Planning,Service,,,
PX-1800.1500-100,Crisis Intervention Volunteer Opportunities,Service,,,
PX-1800.1500-100,Crisis Intervention Volunteer Opportunities,Service,,,
PX-1800.1500-150,Helpline Volunteer Opportunities,Service,,,
PX-1800.1500-200,Information and Referral Volunteer Opportunities,Service,,,
PX-1800.1500-250,Suicide Prevention Volunteer Opportunities,Service,,,
PX-1800.1500-100,Crisis Intervention Volunteer Opportunities,Service,,,
PX-1800.1500-150,Helpline Volunteer Opportunities,Service,,,
PX-1800.1500-200,Information and Referral Volunteer Opportunities,Service,,,
PX-1800.1500-250,Suicide Prevention Volunteer Opportunities,Service,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
PH-1250.1800,Extended Child Care,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2500,Group Counseling,Modality/Delivery Format,,,
PH-1250.1800,Extended Child Care,Service,,,
HD-0500.1700,Disciplinary Alternative Education Programs,Service,,,
LH-6600,Pharmacies,Organization/Facility Type,,,
PH-6200.4600,Life Skills Education,Service,,,
HH-0500.8000-150,English as a Second Language,Service,,,
PH-3300.3000,Homemaker Assistance,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
LV-6800,Pediatrics,Service,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
PL-6400.1500-820,Summer Camps,Service,,,
LH-3500,Health Insurance Information/Counseling,Service,,,
LH-2700.9500-100,Community Wellness Programs,Service,,,
LH-2700.9500-100,Community Wellness Programs,Service,,,
LH-3500,Health Insurance Information/Counseling,Service,,,
LH-0600.5000-950,Walking Aids,Service,,,
HH-9000,Vocational Education,Service,,,
ND-6500.1500,Comprehensive Disability Related Employment Programs,Service,,,
LR-3100.1800-190,Developmental Disabilities Social/Recreational Programs,Service,,,
BH-8400.6000-840,Supported Living Services for Adults With Disabilities,Service,,,
BH-8400.6000-280,Group Residences for Adults With Disabilities,Organization/Facility Type,,,
BH-8400.6000-350,Intermediate Care Facilities for Individuals With Developmental Disabilities,Organization/Facility Type,,,
PX-7000.7000,Recreational Activities Volunteer Opportunities,Service,,,
PL-7400.1550,Cooking Classes,Service,,,
PS-9800,Youth Development,Service,,,
PX,Volunteer Opportunities,Service,,,
PX-1850.4000-030,Advocacy/Ombudsman Volunteer Opportunities,Service,,,
BH-3900.3050-180,Elderly/Disabled Home Rental Listings,Service,,,
BH-7000.4600-450,Low Income/Subsidized Private Rental Housing,Organization/Facility Type,,,
HD-0500.1700,Disciplinary Alternative Education Programs,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
PH-1250.1800,Extended Child Care,Service,,,
PL-7000.5800-870,Tae Kwon Do,Service,,,
BT-4500.4500,Local Automobile Transportation,Service,,,
BT-4500.6500-170,Disability Related Transportation,Service,,,
DM-1800.2000,Mortgage Delinquency and Default Counseling,Programs that provide assistance for people who are unable to ma,,,
TD-1600.3100-160,Constitutional/Civil Rights Groups,Organization/Facility Type,,,
FT-1800,Discrimination Assistance,Service,,,
RP-5000.5000-050,Anxiety Disorders Screening,Service,,,
LH-2700.1700,Disease/Disability Information,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
FT-3600.1500,Comprehensive Immigration/Naturalization Services,Service,,,
FN-1500.2560,Human Trafficking Prevention,Service,,,
TJ-3000.8000,Specialized Information and Referral,Service,,,
LF-4900.2000,Eye Screening,Service,,,
LF-4900.2150,Hearing Screening,Service,,,
LF-4900.4500,Lead Poisoning Screening,Service,,,
LF-4900.8600,Tuberculosis Screening,Service,,,
LF-5280,General Laboratory Tests,Service,,,
LH-3500,Health Insurance Information/Counseling,Service,,,
LJ-2000.6750,Pregnancy Testing,Service,,,
LT-3400.1500,Childhood Immunizations,Service,,,
LV-6800,Pediatrics,Service,,,
PS-8200.5000-250,Glee Clubs/Choir Groups,Organization/Facility Type,,,
PH-1250.1800,Extended Child Care,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
DM-1800.1700,Debt Consolidation Services,Service,,,
BH-3700.3000,Homebuyer/Home Purchase Counseling,Service,,,
TJ-3000.8500-850,211 Lead Agencies,Organization/Facility Type,,,
RP-6400.8000-660.15,Clubhouse Model Psychiatric Rehabilitation,Service,,,
LH-6300.9500,Wish Foundations,Organization/Facility Type,,,
PX,Volunteer Opportunities,Service,,,
FT-3000.1600,Child Support Assistance/Enforcement,Service,,,
PH-1000,Case/Care Management,Service,,,
TJ-6500.6300,Outreach Programs,Service,,,
TJ-3000,Information and Referral,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RF-2000,Family Counseling,Modality/Delivery Format,,,
RP-1500,Crisis Intervention,Service,,,
LH-6700.6400,Prescription Drugs for Specific Health Conditions,Service,,,
TJ-6500,Public Awareness/Education,Service,,,
TJ-3000,Information and Referral,Service,,,
RP-1400.8000-070,Anger Management,Service,,,
RP-1400.8000-100,Bereavement Counseling,Service,,,
RP-5000,Mental Health Evaluation,Service,,,
RX-8450.1150,Comprehensive Outpatient Substance Use Disorder Treatment,Service,,,
LN-1500,Community Clinics,Organization/Facility Type,,,
BH-8400.6000-840,Supported Living Services for Adults With Disabilities,Service,,,
RM-7000.0500,Adult Residential Treatment Facilities,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
PH-2360.2400,Family Support Centers/Outreach,Organization/Facility Type,,,
PH-1250.1700,Drop In Child Care,Service,,,
PH-1250.1700,Drop In Child Care,Service,,,
PH-1250.1700,Drop In Child Care,Service,,,
DD-1500.4150-450,Local Government Complaints/Ombudsman Offices,Organization/Facility Type,,,
DD-1500.4280-600,Nursing Facility Complaints,Service,,,
FT-4950,Long Term Care Ombudsman Programs,Service,,,
PX-1850.4000-030,Advocacy/Ombudsman Volunteer Opportunities,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
PS-9800.9900,Youth Enrichment Programs,Service,,,
PX,Volunteer Opportunities,Service,,,
HL-2000.8000,Special Education Assessment,Service,,,
NL-6000.9500,WIC,Named Programs,,,
NL-6000.9500,WIC,Named Programs,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
PL-7400.1500,Computer and Related Technology Classes,Service,,,
BH-3800.7000,Rent Payment Assistance,Service,,,
ND-6500,Training and Employment Programs,Service,,,
LJ-8000.8500,Teen Pregnancy Prevention,Service,,,
BH-3500.3400-250,First Time Buyer Home Loans,Service,,,
LF-7000.1700,Developmental Assessment,Service,,,
PH-0300.0300,Adoption Counseling and Support,Service,,,
RF-3300,Individual Counseling,Modality/Delivery Format,,,
RP-5000.5000-260,General Mental Health Screening,Service,,,
RP-5000.6600,Psychosocial Evaluation,Service,,,
BH-8400.6000-060,Assisted Living Facilities,Organization/Facility Type,,,
PH-7000.6000-060,Adult Out of Home Respite Care,Service,,,
PS-9800.1000,Boys/Girls Clubs,Organization/Facility Type,,,
PS-9800.1000,Boys/Girls Clubs,Organization/Facility Type,,,
FT-4200,Labor Relations,Service,,,
PH-1400.5000,Mentoring Programs,Service,,,
FP-0500,Advocacy,Modality/Delivery Format,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
FC-8200,State Trial Courts,Organization/Facility Type,,,
FC-8200,State Trial Courts,Organization/Facility Type,,,
TD-0300.8000,State Government Agencies/Departments,Organization/Facility Type,,,
FC-8200,State Trial Courts,Organization/Facility Type,,,
BH-3500.3400-250,First Time Buyer Home Loans,Service,,,
FC-8200,State Trial Courts,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
PX,Volunteer Opportunities,Service,,,
PX,Volunteer Opportunities,Service,,,
PH-6100.6800,Parenting Skills Classes,Service,,,
FT-6900.2500,Guardianship Assistance,Service,,,
FC-8200.1500,Civil State Trial Courts,Organization/Facility Type,,,
RM-3300.6500,Psychiatric Hospitals,Organization/Facility Type,,,
RP-6400.8000-600,Psychiatric Case Management,Service,,,
RM-6500,Outpatient Mental Health Facilities,Organization/Facility Type,,,
TD-1100.1400,Community Action Agencies,Organization/Facility Type,,,
BH-3500.3400-300,Foreclosure Prevention Loan Modification/Refinancing Programs,Service,,,
ND-9000,Vocational Rehabilitation,Service,,,
FF-1500.3500,Juvenile Detention Facilities,Organization/Facility Type,,,
PX,Volunteer Opportunities,Service,,,
PS-9800.1000,Boys/Girls Clubs,Organization/Facility Type,,,
BV-8900.9300,Utility Service Payment Assistance,Service,,,
